TRUSS REPORT 
 
UID 	 Joint 1 	 	 Joint 2 	 	 Length 	 Force 	 	 Max T/C Force 	 FOS 	 
0: 	 (0.000, 0.000) 	 (0.340, 0.000) 	 3.400 	 	 1.720 (T) 	 26.600  	 15.465	 VALID
41: 	 (1.360, 0.000) 	 (1.700, 0.346) 	 5.250 	 	 -1.900 (C) 	 4.400  	 2.316	 VALID
42: 	 (1.360, 0.000) 	 (1.360, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
43: 	 (1.360, 0.000) 	 (1.360, 0.346) 	 4.000 	 	 5.240 (T) 	 26.600  	 5.076	 VALID
44: 	 (1.360, 0.346) 	 (1.700, 0.346) 	 3.400 	 	 -30.970 (C) 	 1.300  	 0.042	 INVALID
45: 	 (1.360, 0.346) 	 (1.700, 0.000) 	 5.250 	 	 -8.710 (C) 	 4.400  	 0.505	 INVALID
46: 	 (1.360, 0.346) 	 (1.360, 0.000) 	 4.000 	 	 -4.910 (C) 	 7.500  	 1.528	 INVALID
47: 	 (1.360, 0.346) 	 (1.700, 0.000) 	 5.250 	 	 -10.250 (C) 	 0.550  	 0.054	 INVALID
48: 	 (1.360, 0.000) 	 (1.700, 0.000) 	 3.400 	 	 21.860 (T) 	 26.600  	 1.217	 INVALID
49: 	 (1.360, 0.000) 	 (1.700, 0.346) 	 5.250 	 	 -0.360 (C) 	 0.550  	 1.528	 INVALID
50: 	 (1.700, 0.000) 	 (2.040, 0.000) 	 3.400 	 	 14.060 (T) 	 26.600  	 1.892	 INVALID
51: 	 (1.700, 0.000) 	 (2.040, 0.346) 	 5.250 	 	 3.340 (T) 	 53.100  	 15.898	 VALID
52: 	 (1.700, 0.000) 	 (1.700, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
53: 	 (1.700, 0.000) 	 (1.700, 0.346) 	 4.000 	 	 5.270 (T) 	 26.600  	 5.047	 VALID
54: 	 (1.700, 0.346) 	 (2.040, 0.346) 	 3.400 	 	 -30.130 (C) 	 1.300  	 0.043	 INVALID
55: 	 (1.700, 0.346) 	 (2.040, 0.000) 	 5.250 	 	 1.450 (T) 	 53.100  	 36.621	 VALID
56: 	 (1.700, 0.346) 	 (1.700, 0.000) 	 4.000 	 	 -0.830 (C) 	 7.500  	 9.037	 VALID
57: 	 (1.700, 0.346) 	 (2.040, 0.000) 	 5.250 	 	 -5.010 (C) 	 0.550  	 0.110	 INVALID
58: 	 (1.700, 0.000) 	 (2.040, 0.000) 	 3.400 	 	 9.870 (T) 	 26.600  	 2.695	 VALID
59: 	 (1.700, 0.000) 	 (2.040, 0.346) 	 5.250 	 	 9.790 (T) 	 26.600  	 2.717	 VALID
60: 	 (2.040, 0.000) 	 (2.380, 0.000) 	 3.400 	 	 5.120 (T) 	 26.600  	 5.195	 VALID
61: 	 (2.040, 0.000) 	 (2.380, 0.346) 	 5.250 	 	 8.790 (T) 	 53.100  	 6.041	 VALID
62: 	 (2.040, 0.000) 	 (2.040, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
63: 	 (2.040, 0.000) 	 (2.040, 0.346) 	 4.000 	 	 -2.880 (C) 	 0.900  	 0.313	 INVALID
64: 	 (2.040, 0.346) 	 (2.380, 0.346) 	 3.400 	 	 -10.580 (C) 	 1.300  	 0.123	 INVALID
65: 	 (2.040, 0.346) 	 (2.380, 0.000) 	 5.250 	 	 -17.500 (C) 	 4.400  	 0.251	 INVALID
66: 	 (2.040, 0.346) 	 (2.040, 0.000) 	 4.000 	 	 5.870 (T) 	 53.100  	 9.046	 VALID
67: 	 (2.040, 0.346) 	 (2.380, 0.000) 	 5.250 	 	 0.450 (T) 	 26.600  	 59.111	 VALID
68: 	 (2.040, 0.000) 	 (2.380, 0.000) 	 3.400 	 	 16.740 (T) 	 26.600  	 1.589	 INVALID
69: 	 (2.040, 0.000) 	 (2.380, 0.346) 	 5.250 	 	 -9.150 (C) 	 0.550  	 0.060	 INVALID
70: 	 (2.380, 0.000) 	 (2.720, 0.000) 	 3.400 	 	 5.740 (T) 	 26.600  	 4.634	 VALID
71: 	 (2.380, 0.000) 	 (2.720, 0.346) 	 5.250 	 	 -0.520 (C) 	 4.400  	 8.462	 VALID
72: 	 (2.380, 0.000) 	 (2.380, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
73: 	 (2.380, 0.000) 	 (2.380, 0.346) 	 4.000 	 	 0.050 (T) 	 26.600  	 532.000	 VALID
74: 	 (2.380, 0.346) 	 (2.720, 0.346) 	 3.400 	 	 -4.260 (C) 	 1.300  	 0.305	 INVALID
75: 	 (2.380, 0.346) 	 (2.720, 0.000) 	 5.250 	 	 -1.250 (C) 	 4.400  	 3.520	 VALID
76: 	 (2.380, 0.346) 	 (2.380, 0.000) 	 4.000 	 	 7.930 (T) 	 53.100  	 6.696	 VALID
77: 	 (2.380, 0.346) 	 (2.720, 0.000) 	 5.250 	 	 -8.870 (C) 	 0.550  	 0.062	 INVALID
78: 	 (2.380, 0.000) 	 (2.720, 0.000) 	 3.400 	 	 0.810 (T) 	 26.600  	 32.840	 VALID
79: 	 (2.380, 0.000) 	 (2.720, 0.346) 	 5.250 	 	 7.090 (T) 	 26.600  	 3.752	 VALID
80: 	 (2.720, 0.000) 	 (3.060, 0.000) 	 3.400 	 	 -5.440 (C) 	 1.300  	 0.239	 INVALID
81: 	 (2.720, 0.000) 	 (3.060, 0.346) 	 5.250 	 	 8.400 (T) 	 53.100  	 6.321	 VALID
82: 	 (2.720, 0.000) 	 (2.720, 0.000) 	 4.000 	 	 3.180 (T) 	 53.100  	 16.698	 VALID
83: 	 (2.720, 0.000) 	 (2.720, 0.346) 	 4.000 	 	 -6.000 (C) 	 0.900  	 0.150	 INVALID
84: 	 (2.720, 0.346) 	 (3.060, 0.346) 	 3.400 	 	 -4.170 (C) 	 1.300  	 0.312	 INVALID
85: 	 (2.720, 0.346) 	 (3.060, 0.000) 	 5.250 	 	 -1.960 (C) 	 4.400  	 2.245	 VALID
86: 	 (2.720, 0.346) 	 (2.720, 0.000) 	 4.000 	 	 -3.910 (C) 	 7.500  	 1.918	 INVALID
87: 	 (2.720, 0.346) 	 (3.060, 0.000) 	 5.250 	 	 8.400 (T) 	 26.600  	 3.167	 VALID
88: 	 (2.720, 0.000) 	 (3.060, 0.000) 	 3.400 	 	 1.270 (T) 	 26.600  	 20.945	 VALID
89: 	 (2.720, 0.000) 	 (3.060, 0.346) 	 5.250 	 	 -1.960 (C) 	 0.550  	 0.281	 INVALID
90: 	 (3.060, 0.000) 	 (3.400, 0.000) 	 3.400 	 	 0.150 (T) 	 26.600  	 177.333	 VALID
91: 	 (3.060, 0.000) 	 (3.400, 0.346) 	 5.250 	 	 -0.230 (C) 	 0.550  	 2.392	 VALID
92: 	 (3.060, 0.000) 	 (3.060, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 
93: 	 (3.060, 0.000) 	 (3.060, 0.346) 	 4.000 	 	 -6.220 (C) 	 0.900  	 0.145	 INVALID
94: 	 (3.060, 0.346) 	 (3.400, 0.346) 	 3.400 	 	 -4.420 (C) 	 1.300  	 0.294	 INVALID
95: 	 (3.060, 0.346) 	 (3.400, 0.000) 	 5.250 	 	 7.060 (T) 	 26.600  	 3.768	 VALID
96: 	 (3.060, 0.346) 	 (3.060, 0.000) 	 4.000 	 	 -3.880 (C) 	 0.900  	 0.232	 INVALID
97: 	 (3.060, 0.346) 	 (3.400, 0.000) 	 5.250 	 	 -0.230 (C) 	 0.550  	 2.392	 VALID
98: 	 (3.060, 0.000) 	 (3.400, 0.000) 	 3.400 	 	 -4.570 (C) 	 1.300  	 0.284	 INVALID
99: 	 (3.060, 0.000) 	 (3.400, 0.346) 	 5.250 	 	 7.060 (T) 	 26.600  	 3.768	 VALID
100: 	 (3.400, 0.346) 	 (3.400, 0.000) 	 4.000 	 	 -5.380 (C) 	 0.900  	 0.167	 INVALID
101: 	 (3.400, 0.346) 	 (3.400, 0.000) 	 4.000 	 	 0.180 (T) 	 26.600  	 147.778	 VALID
102: 	 (3.400, 0.000) 	 (3.400, 0.000) 	 4.000 	 	 0.000   	 N/A 	 	 Inf  	 ZERO-FORCE 

 
Cost Analysis: 
Airplane Glue: $7500 
Strip Type 1: 31.0 36-inch strips needed, costs $31000.0 
Strip Type 2: 10.0 36-inch strips needed, costs $35000.0 
Strip Type 3: 0.0 36-inch strips needed, costs $0.0 
Type 1: 1/16 Strip | Type 2: 1/8 Strip | Type 3: 3/16 Strip 
Gusset Plate Sheets 1 needed, costs $5000 
Total Cost: $78500.0
